--------------------------------------------- 20 Ps

Baseline:
1. 0.9397709369659424
2. 0.6183891296386719
3. 0.597175121307373
4. 0.6909620761871338
5. 0.42249107360839844
6. 0.4999969005584717
7. 0.5777359008789062
8. 0.47800779342651367
9. 0.8146560192108154
10. 0.5618548393249512

IPD:
1. 0.6218938827514648
2. 0.4762418270111084
3. 0.3821837902069092
4. 0.42372703552246094
5. 0.4098927974700928
6. 0.17483091354370117
7. 0.5272362232208252
8. 0.4671599864959717
9. 0.6221170425415039
10. 0.23944592475891113

RIPD:
1. 0.6599769592285156
2. 0.8018398284912109
3. 0.4749722480773926
4. 0.5130302906036377
5. 0.6275699138641357
6. 0.5060348510742188
7. 0.7762959003448486
8. 0.49644994735717773
9. 0.47166013717651367
10. 0.8070480823516846
